block,txhash,liquidator,action,token,decimals,amount,seizeTokens,borrower
7906392,0x5e95594cb9f3d82e1b25d6877aa2ed9ca29291d9b720f7679ebd830a04d15fa5,0x57Ef012861c4937A76B5D6061bE800199A2b9100,liquidate,ZRX,18,15663000000000000000000,79687463123031,0x6996C784cdA7a2841C3a6F579C896477586A1D9A
7906725,0xae9ec1ef33cf3ddf17a6ab0cec5a8cef4a898ff5c078e436ba287c357b5c3e06,0x4654F56a64301b9b582F843F97332D96Ead11FF8,liquidate,ZRX,18,13181000000000000000000,67778845296505,0x6996C784cdA7a2841C3a6F579C896477586A1D9A
7913690,0xd52f60f544c02e7145abefac82619bae556c97643cde2abb27cc6fbc734f7ebc,0x57Ef012861c4937A76B5D6061bE800199A2b9100,liquidate,ZRX,18,9055000000000000000000,46288962727770,0x6996C784cdA7a2841C3a6F579C896477586A1D9A
7916586,0x1daa858c747b48a5d4d0b4ece5b09feee92122816204bae9bd9b8ba092401cab,0x4654F56a64301b9b582F843F97332D96Ead11FF8,liquidate,ZRX,18,6028000000000000000000,32284492532468,0x6996C784cdA7a2841C3a6F579C896477586A1D9A
7927376,0xe479b187e8ca89d0c0b65f7b2b4e1d24efd34a229114749e6736faad88e0bfa0,0x57Ef012861c4937A76B5D6061bE800199A2b9100,liquidate,ZRX,18,5088000000000000000000,26444441409312,0x6996C784cdA7a2841C3a6F579C896477586A1D9A
7930662,0x6062224daa45acc366d26e3114b29829c717e376efafbf94c5e41678d4962f31,0x57Ef012861c4937A76B5D6061bE800199A2b9100,liquidate,ZRX,18,3419964400000000000000,17912748799846,0x6996C784cdA7a2841C3a6F579C896477586A1D9A
7939243,0x1faccbc664256a718290e6cb764762482b9de36c4f0483c9877b8b9913393130,0x4654F56a64301b9b582F843F97332D96Ead11FF8,liquidate,ZRX,18,9087000000000000000000,838798207065,0x6996C784cdA7a2841C3a6F579C896477586A1D9A
7941449,0x7dd81c85c657dd8bd990e2393acd40268c920d65fc21f5bdb099e17db77e6d61,0x4654F56a64301b9b582F843F97332D96Ead11FF8,liquidate,ZRX,18,6644000000000000000000,616541075480,0x6996C784cdA7a2841C3a6F579C896477586A1D9A
7945091,0xc7823a30caac5e05fe6aacb3ed0e2f459a931a940a7dd0094e1c95180b3dc8ff,0x57Ef012861c4937A76B5D6061bE800199A2b9100,liquidate,ZRX,18,4847764800000000000000,25351069098976,0x6996C784cdA7a2841C3a6F579C896477586A1D9A
7959016,0x973938409d605c858816885a30eb6f31001e191b3e37f302223059d3ce5cda72,0x57Ef012861c4937A76B5D6061bE800199A2b9100,liquidate,ZRX,18,6297781200000000000000,611761591285,0x6996C784cdA7a2841C3a6F579C896477586A1D9A
